method,curve_id,curve_family,x,y,x_label,y_label,source,status,notes
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0001,0.999900005,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0001176812,0.9998823257,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0001384886,0.999861521,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0001629751,0.9998370382,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.000191791,0.9998082274,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.000225702,0.9997743235,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0002656088,0.9997344265,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0003125716,0.9996874773,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.000367838,0.9996322297,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0004328761,0.9995672175,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0005094138,0.9994907159,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0005994843,0.9994006954,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0007054802,0.9992947686,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0008302176,0.999170127,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.00097701,0.9990234672,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.001149757,0.9988509037,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0013530478,0.9986478672,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0015922828,0.9984089842,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0018738174,0.9981279371,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0022051307,0.9977972988,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0025950242,0.99740834,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0030538555,0.9969508028,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0035938137,0.9964126364,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0042292429,0.9957796878,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0049770236,0.9950353413,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0058570208,0.9941600981,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0068926121,0.9931310875,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0081113083,0.9919214996,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0095454846,0.990499929,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0112332403,0.9888296169,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0132194115,0.9868675812,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
