method,curve_id,curve_family,x,y,x_label,y_label,source,status,notes
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0001,0.999900005,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0001084366,0.9998915693,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.000117585,0.999882422,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0001275051,0.999872503,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0001382622,0.9998617473,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0001499268,0.9998500844,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0001625756,0.9998374376,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0001762914,0.9998237241,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0001911644,0.9998088539,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0002072922,0.9997927293,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0002247806,0.9997752447,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0002437444,0.9997562853,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0002643081,0.9997357268,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0002866068,0.9997134343,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0003107866,0.9996892617,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0003370064,0.9996630503,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0003654383,0.9996346285,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0003962689,0.9996038096,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0004297005,0.9995703918,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0004659526,0.999534156,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0005052631,0.9994948645,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0005478901,0.9994522599,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0005941134,0.9994060631,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0006442364,0.9993559711,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.000698588,0.999301656,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.000757525,0.9992427618,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0008214344,0.9991789029,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0008907355,0.9991096611,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0009658832,0.9990345831,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0010473709,0.9989531774,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0011357334,0.9988649113,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0012315506,0.9987692074,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0013354516,0.9986654398,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0014481182,0.9985529298,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0015702901,0.9984309421,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0017027692,0.9982986797,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0018464249,0.9981552787,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0020022004,0.9979998027,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0021711179,0.9978312372,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0023542864,0.9976484827,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0025529081,0.9974503478,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0027682866,0.9972355415,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0030018358,0.9970026652,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0032550886,0.9967502035,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0035297073,0.9964765148,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0038274945,0.996179821,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0041504048,0.9958581963,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0045005577,0.9955095547,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0048802516,0.9951316375,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0052919787,0.9947219991,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0057384416,0.9942779918,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0062225708,0.9937967493,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0067475441,0.9932751695,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0073168071,0.9927098955,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0079340967,0.9920972952,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
palacio_blasingame,pb_bdf_b_0_0_qDd,arps_bdf,0.0086034644,0.9914334395,tDd,qDd,Palacio-Blasingame SPE-25909 1993 Eq.12-15,validated,BDF b=0.0 series=qDd
